"handle","field","locale","value"
"anne-mondy","name","nl","Anne Mondy"
"anne-mondy","blurb","nl","Anne Mondy, dochter van de beroemde Pierre Mondy, heeft zich een eigen, vooraanstaande plek veroverd in de wereld van de beeldende kunst."
"anne-mondy","bio","nl","Anne Mondy, dochter van de beroemde Pierre Mondy, heeft zich een eigen, vooraanstaande plek veroverd in de wereld van de beeldende kunst. Gespecialiseerd in kunstcollages, wordt haar werk geprezen om de gevoelige en emotionele diepgang die het uitstraalt. Annes creaties zijn niet alleen visueel betoverend, maar roepen ook diepgaande emoties op, waardoor kijkers worden meegesleept in haar unieke artistieke visie. Haar reis als kunstenaar is sterk beïnvloed door haar erfgoed. Als dochter van een legendarische figuur in de Franse cinema, leerde Anne het belang van precisie, passie en de kracht van creatief werk door simpelweg haar vader, Pierre Mondy, te observeren. Zijn toewijding en zijn vermogen om zijn emotie over te brengen op het doek inspireerden haar om zelf de diepere lagen van kunst te ontdekken.

Vandaag de dag is Anne Mondy een legende op zich geworden. Haar kunst overstijgt traditionele grenzen en nodigt kijkers uit om een wereld te verkennen waar verbeelding en schoonheid vrij spel hebben. Haar werk biedt niet alleen visuele pracht, maar ook een dieper gevoel van troost voor de ziel. Met elke creatie laat ze een onuitwisbare indruk achter op het canvas van de hedendaagse kunst, en vestigt ze zichzelf als een ware visionair, die de moderne kunstscene blijft verrijken met haar vernieuwende visie en creativiteit."
"anne-mondy","name","en","Anne Mondy"
"anne-mondy","blurb","en","Anne Mondy, daughter of the renowned Pierre Mondy, has carved out her own prominent place in the world of visual arts."
"anne-mondy","bio","en","Anne Mondy, daughter of the renowned Pierre Mondy, has carved out her own prominent place in the world of visual arts. Specializing in art collages, her work is praised for its sensitivity and emotional depth. Anne's creations are not only visually captivating but also evoke profound emotions, drawing viewers into her unique artistic vision.

Her journey as an artist has been deeply influenced by her heritage. Growing up with a legendary figure in French cinema, Anne learned the importance of precision, passion, and the power of creative work simply by observing her father, Pierre Mondy. His dedication and ability to convey emotion through his craft inspired her to explore the deeper layers of art.

Today, Anne Mondy has become a legend in her own right. Her art transcends traditional boundaries, inviting viewers to explore a world where imagination knows no limits and the soul finds comfort in beauty. With each creation, she leaves an indelible mark on the canvas of contemporary art, establishing herself as a true visionary and a leading figure in the modern art scene."
"anne-mondy","name","fr","Anne Mondy"
"anne-mondy","blurb","fr","Anne Mondy, fille du célèbre Pierre Mondy, s'est fait une place de choix dans le monde des arts visuels."
"anne-mondy","bio","fr","Anne Mondy, fille du célèbre Pierre Mondy, s'est fait une place de choix dans le monde des arts visuels. Spécialisée dans les collages artistiques, son travail est salué pour la sensibilité et la profondeur émotionnelle qu'il dégage. Les créations d'Anne ne sont pas seulement visuellement captivantes, elles suscitent également des émotions profondes, entraînant les spectateurs dans sa vision artistique unique. Son parcours en tant qu'artiste a été fortement influencé par son héritage. En tant que fille d'une figure légendaire du cinéma français, Anne a appris l'importance de la précision, de la passion et de la force du travail créatif simplement en observant son père, Pierre Mondy. Sa dévotion et sa capacité à transmettre ses émotions sur la toile l'ont inspirée à découvrir les couches profondes de l'art par elle-même..

Aujourd'hui, Anne Mondy est devenue une légende à part entière. Son art transcende les frontières traditionnelles, invitant les spectateurs à explorer un monde où l'imagination n'a pas de limites et où l'âme trouve du réconfort dans la beauté. À chaque création, elle laisse une marque indélébile sur la toile de l'art contemporain, s'imposant comme une véritable visionnaire et une figure de proue de la scène artistique moderne."
"brass","name","nl","B.R.A.S.S."
